Reagent,Well,[Additive],[Additive],Additive,Classification
1,A1,"0,1",M,Barium chloride dihydrate,Multivalent
2,A2,"0,1",M,Cadmium chloride hydrate,Multivalent
3,A3,"0,1",M,Calcium chloride dihydrate,Multivalent
4,A4,"0,1",M,Cobalt(II) chloride hexahydrate,Multivalent
5,A5,"0,1",M,Copper(II) chloride dihydrate,Multivalent
6,A6,"0,1",M,Magnesium chloride hexahydrate,Multivalent
7,A7,"0,1",M,Manganese(II) chloride tetrahydrate ,Multivalent
8,A8,"0,1",M,Strontium chloride hexahydrate,Multivalent
9,A9,"0,1",M,Yttrium(III) chloride hexahydrate,Multivalent
10,A10,"0,1",M,Zinc chloride,Multivalent
11,A11,"0,1",M,Iron(III) chloride hexahydrate,Multivalent
12,A12,"0,1",M,Nickel(II) chloride hexahydrate,Multivalent
13,B1,"0,1",M,Chromium(III) chloride hexahydrate,Multivalent
14,B2,"0,1",M,Praseodymium(III) acetate hydrate,Multivalent
15,B3,"1,0",M,Ammonium sulfate,Salt
16,B4,"1,0",M,Potassium chloride,Salt
17,B5,"1,0",M,Lithium chloride,Salt
18,B6,"2,0",M,Sodium chloride,Salt
19,B7,"0,5",M,Sodium fluoride,Salt
20,B8,"1,0",M,Sodium iodide,Salt
21,B9,"2,0",M,Sodium thiocyanate,Salt
22,B10,"1,0",M,Potassium sodium tartrate tetrahydrate,Salt
23,B11,"1,0",M,Sodium citrate tribasic dihydrate,Salt
24,B12,"1,0",M,Cesium chloride,Salt
25,C1,"1,0",M,Sodium malonate pH 7.0,Salt
26,C2,"0,1",M,L-Proline,Amino Acid
27,C3,"0,1",M,Phenol,Dissociating Agent
28,C4,30,% v/v,Dimethyl sulfoxide,Dissociating Agent
29,C5,"0,1",M,Sodium bromide,Dissociating Agent
30,C6,30,% w/v,6-Aminohexanoic acid,Linker
31,C7,30,% w/v,"1,5-Diaminopentane dihydrochloride",Linker
32,C8,30,% w/v,"1,6-Diaminohexane",Linker
33,C9,30,% w/v,"1,8-Diaminooctane",Linker
34,C10,"1,0",M,Glycine,Linker
35,C11,"0,3",M,Glycyl-glycyl-glycine,Linker
36,C12,"0,1",M,Taurine,Linker
37,D1,"0,1",M,Betaine hydrochloride,Linker
38,D2,"0,1",M,Spermidine,Polyamine
39,D3,"0,1",M,Spermine tetrahydrochloride,Polyamine
40,D4,"0,1",M,Hexammine cobalt(III) chloride,Polyamine
41,D5,"0,1",M,Sarcosine,Polyamine
42,D6,"0,1",M,Trimethylamine hydrochloride,Chaotrope
43,D7,"1,0",M,Guanidine hydrochloride,Chaotrope
44,D8,"0,1",M,Urea,Chaotrope
45,D9,"0,1",M,β-Nicotinamide adenine dinucleotide hydrate,Co-factor
46,D10,"0,1",M,Adenosine-5’-triphosphate disodium salt hydrate,Co-factor
47,D11,"0,1",M,TCEP hydrochloride,Reducing Agent
48,D12,"0,01",M,"GSH (L-Glutathione reduced), GSSG (L-Glutathione oxidized)",Reducing Agent
49,E1,"0,1",M,Ethylenediaminetetraacetic acid disodium salt dihydrate,Chelating Agent
50,E2,5,% w/v,Polyvinylpyrrolidone K15,Polymer
51,E3,30,% w/v,Dextran sulfate sodium salt,Polymer
52,E4,40,% v/v,Pentaerythritol ethoxylate (3/4 EO/OH),Polymer
53,E5,10,% w/v,"Polyethylene glycol 3,350",Polymer
