Reagent,Well,[Ppt],[Ppt],Precipitant,pH,[Buffer],[Buffer],Buffer,pH,Average,Average,Average,
#,#,,units,,,,units,,,pH,Ref. Index,Conductivity,
1,A1,1.8,M,Sodium acetate trihydrate,7.0,0.1,M,BIS-TRIS propane,7.0,7.1,1.35857,67.3,mS/cm
2,A2,2.8,M,Sodium acetate trihydrate,7.0,0.1,M,BIS-TRIS propane,7.0,7.2,1.3685,"74,0",mS/cm
3,A3,1.5,M,Ammonium chloride,,0.1,M,Sodium acetate trihydrate,4.6,4.5,1.34929,155.7,mS/cm
4,A4,1.5,M,Ammonium chloride,,0.1,M,BIS-TRIS propane,7.0,7.1,1.35402,150.9,mS/cm
5,A5,1.5,M,Ammonium chloride,,0.1,M,Tris,8.5,7.9,1.35005,150.9,mS/cm
6,A6,3.5,M,Ammonium chloride,,0.1,M,Sodium acetate trihydrate,4.6,4.5,1.36814,338.4,mS/cm
7,A7,3.5,M,Ammonium chloride,,0.1,M,BIS-TRIS propane,7.0,"7,0",1.37287,"348,0",mS/cm
8,A8,3.5,M,Ammonium chloride,,0.1,M,Tris,8.5,7.6,1.36899,339.8,mS/cm
9,A9,2.2,M,Sodium chloride,,0.1,M,Sodium acetate trihydrate,4.6,4.4,1.35501,152.4,mS/cm
10,A10,2.2,M,Sodium chloride,,0.1,M,BIS-TRIS propane,7.0,7.1,1.35959,145.5,mS/cm
11,A11,2.2,M,Sodium chloride,,0.1,M,Tris,8.5,8.5,1.35593,149.3,mS/cm
12,A12,3.2,M,Sodium chloride,,0.1,M,Sodium acetate trihydrate,4.6,4.4,1.36364,190.1,mS/cm
13,B1,3.2,M,Sodium chloride,,0.1,M,BIS-TRIS propane,7.0,7.2,1.36824,180.1,mS/cm
14,B2,3.2,M,Sodium chloride,,0.1,M,Tris,8.5,8.5,1.364339,187.1,mS/cm
15,B3,1.0,M,Ammonium citrate dibasic,,0.1,M,Sodium acetate trihydrate,4.6,4.7,1.37122,87.6,mS/cm
16,B4,1.8,M,Ammonium citrate dibasic,,0.1,M,Sodium acetate trihydrate,4.6,4.8,1.40894,94.5,mS/cm
17,B5,1.0,M,Ammonium citrate tribasic,7.0,0.1,M,BIS-TRIS propane,7.0,7.2,1.38129,113.6,mS/cm
18,B6,2.0,M,Ammonium citrate tribasic,7.0,0.1,M,BIS-TRIS propane,7.0,7.1,1.41969,105.6,mS/cm
19,B7,0.7,M,Sodium citrate tribasic dihydrate,,0.1,M,BIS-TRIS propane,7.0,7.6,1.36694,59.3,mS/cm
20,B8,0.7,M,Sodium citrate tribasic dihydrate,,0.1,M,Tris,8.5,"9,0",1.3643,59.4,mS/cm
21,B9,1.2,M,Sodium citrate tribasic dihydrate,,0.1,M,BIS-TRIS propane,7.0,7.8,1.3864,60.5,mS/cm
22,B10,1.2,M,Sodium citrate tribasic dihydrate,,0.1,M,Tris,8.5,9.2,1.3831,62.5,mS/cm
23,B11,0.4,M,Magnesium formate dihydrate,,0.1,M,Sodium acetate trihydrate,4.6,4.9,1.3424,37.7,mS/cm
24,B12,0.4,M,Magnesium formate dihydrate,,0.1,M,BIS-TRIS propane,7.0,"7,0",1.34685,37.8,mS/cm
