CS-101L to 104L,Precipitant 1,Buffer,Additive 1,Additive 2,
A1,15.00 % w/v Polyethylene glycol 400,None,100 mM Sodium acetate; pH 4.6,100 mM Calcium chloride,
A2,15.00 % w/v Polyethylene glycol 400,None,100 mM MES; pH 6.5,None,
A3,15.00 % w/v Polyethylene glycol 400,None,100 mM HEPES; pH 7.5,200 mM Magnesium chloride,
A4,15.00 % w/v Polyethylene glycol 400,None,100 mM TRIS; pH 8.5,200 mM tri-Sodium citrate,
A5,25.00 % w/v Polyethylene glycol 400,None,100 mM Sodium acetate; pH 4.6,100 mM Magnesium chloride,
A6,25.00 % w/v Polyethylene glycol 400,None,100 mM TRIS; pH 8.5,200 mM Lithium sulfate,
A7,28.00 % w/v Polyethylene glycol 400,None,100 mM HEPES; pH 7.5,200 mM Calcium chloride,
A8,30.00 % w/v Polyethylene glycol 400,None,100 mM Sodium acetate; pH 4.6,100 mM Calcium chloride,
A9,30.00 % w/v Polyethylene glycol 400,None,100 mM MES; pH 6.5,100 mM Sodium acetate,
A10,30.00 % w/v Polyethylene glycol 400,None,100 mM MES; pH 6.5,100 mM Magnesium chloride,
A11,30.00 % w/v Polyethylene glycol 400,None,100 mM HEPES; pH 7.5,200 mM Magnesium chloride,
A12,30.00 % w/v Polyethylene glycol 400,None,100 mM TRIS; pH 8.5,200 mM tri-Sodium citrate,
B1,30.00 % w/v Polyethylene glycol monomethyl ether 550,None,100 mM BICINE; pH 9.0,100 mM Sodium chloride,
B2,25.00 % w/v Polyethylene glycol monomethyl ether 550,None,100 mM MES; pH 6.5,10.00 mM Zinc sulfate,
B3,"25.00 % w/v Polyethylene glycol 1,000",None,100 mM HEPES; pH 7.5,None,
B4,"30.00 % w/v Polyethylene glycol 1,000",None,100 mM TRIS; pH 8.5,None,
B5,"15.00 % w/v Polyethylene glycol 1,500",None,None,None,
B6,"20.00 % w/v Polyethylene glycol 1,500",None,100 mM HEPES; pH 7.5,None,
B7,"30.00 % w/v Polyethylene glycol 1,500",None,None,None,
B8,"20.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,100 mM TRIS; pH 8.5,10.00 mM Nickel (II) chloride,
B9,"25.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,None,None,
B10,"30.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,100 mM MES; pH 6.5,100 mM Sodium acetate,
B11,"20.00 % w/v Polyethylene glycol 3,000",None,100 mM HEPES; pH 7.5,200 mM Sodium acetate,
B12,"30.00 % w/v Polyethylene glycol 3,000",None,100 mM TRIS; pH 8.5,200 mM Lithium sulfate,
C1,"4.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,None,
C2,"8.00 % w/v Polyethylene glycol 4,000",None,None,None,
C3,"8.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,None,
C4,"10.00 % w/v Polyethylene glycol 4,000",None,100 mM MES; pH 6.5,200 mM Magnesium chloride,
C5,"12.00 % w/v Polyethylene glycol 4,000",None,100 mM HEPES; pH 7.5,100 mM Sodium acetate,
C6,"12.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,None,
C7,"16.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Lithium sulfate,
C8,"16.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Sodium acetate,
C9,"16.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Magnesium chloride,
C10,"18.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,None,
C11,"20.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Lithium sulfate,
C12,"20.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Calcium chloride,
D1,"22.00 % w/v Polyethylene glycol 4,000",None,100 mM HEPES; pH 7.5,100 mM Sodium acetate,
D2,"25.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,None,
D3,"25.00 % w/v Polyethylene glycol 4,000",None,100 mM MES; pH 6.5,200 mM Magnesium chloride,
D4,"25.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Calcium chloride,
D5,"30.00 % w/v Polyethylene glycol 4,000",None,None,None,
D6,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,100 mM Magnesium chloride,
D7,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM MES; pH 6.5,None,
D8,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM HEPES; pH 7.5,200 mM Calcium chloride,
D9,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Lithium sulfate,
D10,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Sodium acetate,
D11,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,200 mM Magnesium chloride,
D12,"35.00 % w/v Polyethylene glycol 4,000",None,None,None,
E1,"8.00 % w/v Polyethylene glycol 4,000",800 mM Lithium chloride,100 mM TRIS; pH 8.5,None,None
E2,"10.00 % w/v Polyethylene glycol 4,000",20.00 % w/v 2-Propanol,None,None,None
E3,"10.00 % w/v Polyethylene glycol 4,000",10.00 % w/v 2-Propanol,100 mM tri-Sodium citrate; pH 5.6,None,None
E4,"10.00 % w/v Polyethylene glycol 4,000",5.00 % w/v 2-Propanol,100 mM HEPES; pH 7.5,None,None
E5,"10.00 % w/v Polyethylene glycol 4,000",20.00 % w/v 2-Propanol,100 mM HEPES; pH 7.5,None,None
E6,"12.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,200 mM Ammonium sulfate,None
E7,"15.00 % w/v Polyethylene glycol 4,000",None,None,200 mM Ammonium sulfate,None
E8,"15.00 % w/v Polyethylene glycol 4,000",None,100 mM tri-Sodium citrate; pH 5.6,200 mM Ammonium sulfate,None
E9,"16.00 % w/v Polyethylene glycol 4,000",10.00 % w/v 2-Propanol,100 mM HEPES; pH 7.5,200 mM Ammonium sulfate,None
E10,"20.00 % w/v Polyethylene glycol 4,000",None,None,200 mM Ammonium sulfate,None
E11,"20.00 % w/v Polyethylene glycol 4,000",10.00 % w/v Glycerol,None,200 mM Magnesium sulfate,None
E12,"20.00 % w/v Polyethylene glycol 4,000",5.00 % w/v 2-Propanol,None,100 mM tri-Sodium citrate,None
F1,"20.00 % w/v Polyethylene glycol 4,000",20.00 % w/v 2-Propanol,None,100 mM tri-Sodium citrate,None
F2,"20.00 % w/v Polyethylene glycol 4,000",None,100 mM MES; pH 6.5,600 mM Sodium chloride,None
F3,"20.00 % w/v Polyethylene glycol 4,000",10.00 % w/v 2-Propanol,100 mM HEPES; pH 7.5,None,None
F4,"22.00 % w/v Polyethylene glycol 4,000",None,None,100 mM Sodium acetate,200 mM Ammonium sulfate
F5,"25.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,200 mM Ammonium sulfate,None
F6,"25.00 % w/v Polyethylene glycol 4,000",None,100 mM tri-Sodium citrate; pH 5.6,200 mM Ammonium sulfate,None
F7,"25.00 % w/v Polyethylene glycol 4,000",200 mM Lithium sulfate,100 mM HEPES; pH 7.5,100 mM Sodium acetate,None
F8,"25.00 % w/v Polyethylene glycol 4,000",8.00 % w/v 2-Propanol,None,100 mM Sodium acetate,None
F9,"30.00 % w/v Polyethylene glycol 4,000",None,None,200 mM Ammonium sulfate,None
F10,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM Sodium acetate; pH 4.6,200 mM Ammonium sulfate,None
F11,"30.00 % w/v Polyethylene glycol 4,000",None,100 mM tri-Sodium citrate; pH 5.6,100 mM Ammonium sulfate,None
F12,"32.00 % w/v Polyethylene glycol 4,000",None,100 mM TRIS; pH 8.5,800 mM Lithium chloride,None
G1,"25.00 % w/v Polyethylene glycol monomethyl ether 5,000",None,100 mM TRIS; pH 8.5,200 mM Lithium sulfate,None
G2,"30.00 % w/v Polyethylene glycol monomethyl ether 5,000",None,100 mM MES; pH 6.5,200 mM Ammonium sulfate,None
G3,"3.00 % w/v Polyethylene glycol 6,000",None,100 mM TRIS; pH 8.5,100 mM Potassium chloride,None
G4,"10.00 % w/v Polyethylene glycol 6,000",None,None,10.00 mM Magnesium chloride,None
G5,"12.00 % w/v Polyethylene glycol 6,000",2.00 M Sodium chloride,None,None,None
G6,"15.00 % w/v Polyethylene glycol 6,000",5.00 % w/v Glycerol,None,None,None
G7,"15.00 % w/v Polyethylene glycol 6,000",50.00 mM Potassium chloride,None,10.00 mM Magnesium chloride,None
G8,"16.00 % w/v Polyethylene glycol 6,000",None,None,10.00 mM tri-Sodium citrate,None
G9,"20.00 % w/v Polyethylene glycol 6,000",None,50.00 mM Imidazole; pH 8.0,None,None
G10,"25.00 % w/v Polyethylene glycol 6,000",None,100 mM HEPES; pH 7.5,100 mM Lithium chloride,None
G11,"28.00 % w/v Polyethylene glycol 6,000",500 mM Lithium chloride,100 mM TRIS; pH 8.5,None,None
G12,"30.00 % w/v Polyethylene glycol 6,000",1.00 M Lithium chloride,None,100 mM Sodium acetate,None
H1,"33.00 % w/v Polyethylene glycol 6,000",None,None,10.00 mM tri-Sodium citrate,None
H2,"2.00 % w/v Polyethylene glycol 8,000",500 mM Lithium sulfate,None,None,None
