CS-212L,Precipitant 1,Buffer,Additive 1,
A1,22.5 % v/v Polyethylene glycol 200,None,50.00 mM Sodium acetate; pH 4.8,None
A2,20.00 % v/v Polyethylene glycol 300,None,50.00 mM Sodium acetate; pH 5.2,None
A3,20.00 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM MES; pH 5.6,None
A4,20.00 % v/v Polyethylene glycol 400,None,50.00 mM MES; pH 6.0,None
A5,20.00 % v/v Polyethylene glycol monomethyl ether 550,None,50.00 mM ADA; pH 6.4,None
A6,20.00 % v/v Polyethylene glycol 600,None,50.00 mM ADA; pH 6.8,None
A7,"17.5 % w/v Polyethylene glycol 1,000",None,50.00 mM HEPES; pH 7.1,None
A8,"17.5 % w/v Polyethylene glycol 1,500",None,50.00 mM HEPES; pH 7.3,None
A9,"15.00 % w/v Polyethylene glycol 2,000",None,50.00 mM TRIS; pH 7.6,None
A10,"15.00 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM TRIS; pH 8.0,None
A11,"15.00 % w/v Polyethylene glycol 3,000",None,50.00 mM BICINE; pH 8.4,None
A12,"15.00 % w/v Polyethylene glycol 4,000",None,50.00 mM BICINE; pH 8.8,None
B1,"15.00 % w/v Polyethylene glycol 1,500",None,50.00 mM Sodium acetate; pH 4.8,"3.6 % w/v Polyethylene glycol 4,000"
B2,"12.9 % w/v Polyethylene glycol 2,000",None,50.00 mM Sodium acetate; pH 5.2,6.4 % v/v Polyethylene glycol 200
B3,"12.9 % w/v Polyethylene glycol monomethyl ether 2,000",None,50.00 mM MES; pH 5.6,5.7 % v/v Polyethylene glycol 300
B4,"12.9 % w/v Polyethylene glycol 3,000",None,50.00 mM MES; pH 6.0,5.7 % v/v Polyethylene glycol monomethyl ether 350
B5,"12.9 % w/v Polyethylene glycol 4,000",None,50.00 mM ADA; pH 6.4,5.7 % v/v Polyethylene glycol 400
B6,19.3 % v/v Polyethylene glycol 200,None,50.00 mM ADA; pH 6.8,5.7 % v/v Polyethylene glycol monomethyl ether 550
B7,17.1 % v/v Polyethylene glycol 300,None,50.00 mM HEPES; pH 7.1,5.7 % v/v Polyethylene glycol 600
B8,17.1 % v/v Polyethylene glycol monomethyl ether 350,None,50.00 mM HEPES; pH 7.3,"5.00 % w/v Polyethylene glycol 1,000"
B9,17.1 % v/v Polyethylene glycol 400,None,50.00 mM TRIS; pH 7.6,"5.00 % w/v Polyethylene glycol 1,500"
