Well #,Conc.,Units,Salt1,Conc.,Units,Salt2,Conc.,Units,Buffer,pH,Conc.,Units,Precipitant,Conc.,Units,Precipitant2
A1,,,,,,,0.1,M,Sodium acetate,"4,5",30,% v/v,PEG Smear Low,,,
A2,,,,,,,0.1,M,Phosphate/Citrate,"5,5",30,% v/v,PEG Smear Low,,,
A3,,,,,,,0.1,M,MES,"6,5",30,% v/v,PEG Smear Low,,,
A4,,,,,,,0.1,M,Sodium acetate,"4,5",25,% v/v,PEG Smear Medium,,,
A5,,,,,,,0.1,M,Phosphate/Citrate,"5,5",25,% v/v,PEG Smear Medium,,,
A6,,,,,,,0.1,M,MES,"6,5",25,% v/v,PEG Smear Medium,,,
A7,,,,,,,0.1,M,Sodium acetate,"4,5",20,% v/v,PEG Smear High,,,
A8,,,,,,,0.1,M,Phosphate/Citrate,"5,5",20,% v/v,PEG Smear High,,,
A9,,,,,,,0.1,M,MES,"6,5",20,% v/v,PEG Smear High,,,
A10,,,,,,,0.1,M,Sodium acetate,"4,5",22,% v/v,PEG Smear Broad,,,
A11,,,,,,,0.1,M,Phosphate/Citrate,"5,5",22,% v/v,PEG Smear Broad,,,
A12,,,,,,,0.1,M,MES,"6,5",22,% v/v,PEG Smear Broad,,,
B1,,,,,,,0.1,M,HEPES,"7,5",30,% v/v,PEG Smear Low,,,
B2,,,,,,,0.1,M,Tris,"8,5",30,% v/v,PEG Smear Low,,,
B3,,,,,,,0.1,M,BICINE,"9,3",30,% v/v,PEG Smear Low,,,
B4,,,,,,,0.1,M,HEPES,"7,5",25,% v/v,PEG Smear Medium,,,
B5,,,,,,,0.1,M,Tris,"8,5",25,% v/v,PEG Smear Medium,,,
B6,,,,,,,0.1,M,BICINE,"9,3",25,% v/v,PEG Smear Medium,,,
B7,,,,,,,0.1,M,HEPES,"7,5",20,% v/v,PEG Smear High,,,
B8,,,,,,,0.1,M,Tris,"8,5",20,% v/v,PEG Smear High,,,
B9,,,,,,,0.1,M,BICINE,"9,3",20,% v/v,PEG Smear High,,,
B10,,,,,,,0.1,M,HEPES,"7,5",22,% v/v,PEG Smear Broad,,,
B11,,,,,,,0.1,M,Tris,"8,5",22,% v/v,PEG Smear Broad,,,
B12,,,,,,,0.1,M,BICINE,"9,3",22,% v/v,PEG Smear Broad,,,
C1,,,,,,,,,,,35,% v/v,PEG Smear Low,,,
C2,0.2,M,Ammonium acetate,,,,0.1,M,Sodium acetate,"4,6",28,% v/v,PEG Smear Low,5,% v/v,Ethylene glycol
C3,0.15,M,Sodium chloride,,,,,,,,28,% v/v,PEG Smear Medium,,,
C4,0.2,M,Ammonium sulfate,,,,0.1,M,Sodium cacodylate,"5,5",25,% v/v,PEG Smear Medium,,,
C5,0.1,M,Sodium/potassium phosphate pH 5.5,0.1,M,Rubidium chloride,0.1,M,Sodium citrate,"5,5",25,% v/v,PEG Smear Medium,,,
C6,0.2,M,Potassium chloride,,,,,,,,"22,5",% v/v,PEG Smear High,,,
C7,0.15,M,Ammonium acetate,,,,0.1,M,Sodium citrate,"5,0",15,% v/v,PEG Smear High,,,
C8,0.05,M,L-Arginine,0.05,M,L-Glutamic acid monosodium salt hydrate,,,,,28,% v/v,PEG Smear Broad,5,% v/v,Glycerol
C9,0.15,M,Magnesium acetate tetrahydrate,,,,0.1,M,Sodium citrate,"5,6",20,% v/v,PEG Smear Broad,,,
C10,0.2,M,Ammonium sulfate,,,,0.1,M,Sodium acetate,"4,6",25,% v/v,PEG Smear Broad,,,
C11,0.2,M,Potassium sodium tartrate tetrahydrate,,,,0.1,M,MES,"6,0",25,% v/v,PEG Smear Low,,,
C12,0.1,M,Calcium chloride dihydrate,0.1,M,Magnesium chloride hexahydrate,0.1,M,PIPES,"7,0","22,5",% v/v,PEG Smear Medium,,,
D1,0.2,M,Ammonium nitrate,,,,0.1,M,Sodium cacodylate,"5,3","22,5",% v/v,PEG Smear Low,,,
D2,,,,,,,0.1,M,MES,"6,5","22,5",% v/v,PEG Smear Low,10,% v/v,2-Propanol
D3,0.15,M,Ammonium nitrate,,,,0.1,M,MES,"6,0",20,% v/v,PEG Smear Medium,5,% v/v,Ethylene glycol
