Well No.,Conc.,Units,Salt,Conc.,Units,Buffer,pH,Conc., ,Precipitant1,Conc.,Units,Preicpitant2,Conc.,Units,Precipitant3
A1,,,,0.1,M,HEPES,6,50,% v/v,Polypropylene glycol 400,5, % v/v,Dimethyl sulfoxide,,,
A2,,,,0.1,M,MES,5.5,12,% w/v,Polyvinylpyrrolidone,,,,,,
A3,,,,0.1,M,HEPES,6.5,45,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
A4,,,,,,,,14,% v/v,Poly(acrylic acid-co-maleic acid) solution,,,,,,
A5,0.5,M,Ammonium phosphate monobasic,,,,,12.5,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
A6,,,,0.1,M,Tris,8.5,19,% v/v,Poly(acrylic acid-co-maleic acid) solution,,,,,,
A7,,,,,,,,10,% v/v,Polypropylene glycol 400,,,,,,
A8,,,,,,,,5,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
A9,,,,0.1,M,MES,6,25,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),,,,,,
A10,0.1,M,Sodium sulfate,,,,,24,% w/v,Polyvinylpyrrolidone,,,,,,
A11,0.2,M,Calcium chloride dihydrate,0.1,M,HEPES,6.5,35,% v/v,Pentaerythritol ethoxylate (15/4 EO/OH),,,,,,
A12,,,,0.1,M,Potassium/sodium phosphate,7,35,% v/v,Polypropylene glycol 400,,,,,,
B1,0.1,M,Sodium formate,,,,,20,% w/v,SOKALAN® CP 45,,,,,,
B2,0.2,M,Sodium thiocyanate,0.1,M,HEPES,7,15,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),,,,,,
B3,0.1,M,Sodium chloride,0.1,M,HEPES,7,25,% w/v,SOKALAN® PA 25 CL,,,,,,
B4,0.2,M,Sodium chloride,0.1,M,MES,6,45,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),,,,,,
B5,,,,0.1,M,HEPES,7,8,% w/v,Polyvinyl alcohol,10,% v/v,1-Propanol,,,
B6,0.1,M,Lithium sulfate,0.1,M,HEPES,7,30,% w/v,Polyvinylpyrrolidone,,,,,,
B7,,,,0.2,M,Imidazole,7,40,% v/v,Polypropylene glycol 400,,,,,,
B8,0.06,M,Lithium sulfate,0.1,M,HEPES,7.5,8,% v/v,Poly(acrylic acid-co-maleic acid) solution,3,% v/v,Pentaerythritol ethoxylate (3/4 EO/OH),,,
B9,0.1,M,Sodium tartrate dibasic dihydrate,0.1,M,HEPES,7,20,% w/v,SOKALAN® PA 25 CL,,,,,,
B10,,,,,,,,30,% v/v,Jeffamine® M-600,10,% v/v,Dimethyl sulfoxide,,,
B11,,,,,,,,20,% v/v,Polypropylene glycol 400,10,% v/v,1-Propanol,,,
B12,,,,0.1,M,HEPES,6.5,28,% v/v,Poly(acrylic acid-co-maleic acid) solution,,,,,,
C1,,,,,,,,15,% v/v,Jeffamine® ED-2003,10,% v/v,Ethanol,,,
C2,0.2,M,Sodium chloride,0.1,M,MES,6,30,% v/v,Jeffamine® ED-2003,,,,,,
C3,0.1,M,Sodium malonate dibasic monohydrate,0.1,M,MES,5.5,25,% w/v,SOKALAN® CP 45,,,,,,
C4,0.2,M,Sodium chloride,0.1,M,MES,6,15,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),,,,,,
C5,0.2,M,Magnesium chloride hexahydrate,,,,,35,% v/v,Pentaerythritol ethoxylate (3/4 EO/OH),,,,,,
C6,,,,,,,,40,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),15,% v/v,Ethanol,,,
C7,,,,0.1,M,Tris,8,50,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),,,,,,
C8,0.2,M,Sodium chloride,0.1,M,Tris,8,12.5,% w/v,Polyvinylpyrrolidone,10,% w/v,PEG 4000,,,
C9,0.1,M,Sodium chloride,,,,,25,% v/v,Pentaerythritol propoxylate (5/4 PO/OH),10,% v/v,Dimethyl sulfoxide,,,
C10,0.2,M,Ammonium sulfate,0.1,M,HEPES,7.5,35,% w/v,Poly(acrylic acid sodium salt) 2100,,,,,,
C11,0.1,M,Magnesium formate dihydrate,0.1,M,Tris,8.5,30,% v/v,Pentaerythritol ethoxylate (15/4 EO/OH),,,,,,
C12,0.2,M,Potassium acetate,,,,,24,% v/v,Poly(acrylic acid-co-maleic acid) solution,,,,,,
D1,,,,0.1,M,Tris,8,60,% v/v,Polypropylene glycol 400,,,,,,
D2,,,,0.1,M,HEPES,7.5,30,% v/v,Pentaerythritol ethoxylate (15/4 EO/OH),6,% w/v,Polyvinylpyrrolidone,,,
D3,,,,,,,,45,% v/v,Polypropylene glycol 400,10,% v/v,Ethanol,,,
D4,,,,,,,,10,% v/v,Pentaerythritol ethoxylate (3/4 EO/OH),10,% v/v,1-Butanol,,,
D5,,,,0.1,M,HEPES,7,12.5,% w/v,Poly(acrylic acid sodium salt) 2100,6,% v/v,PPGBA 2000,,,
D6,,,,0.1,M,HEPES,6.5,6,% w/v,Polyvinylpyrrolidone,,,,,,
D7,,,,0.1,M,HEPES,6.5,20,% v/v,Jeffamine® ED-2003,,,,,,
D8,,,,0.1,M,Tris,8,20,% v/v,Glycerol ethoxylate,10,% v/v,Tetrahydrofuran,,,
D9,,,,0.2,M,Imidazole,7,25,% v/v,PPGBA 2000,,,,,,
D10,0.2,M,Potassium chloride,0.1,M,HEPES,6.5,30,% v/v,PPGBA 230,,,,,,
D11,0.1,M,Sodium chloride,,,,,30,% v/v,Polypropylene glycol 400,,,,,,
D12,,,,,,,,20,% v/v,PPGBA 400,15,% v/v,1-Propanol,,,
E1,0.1,M,Lithium citrate tribasic tetrahydrate,0.1,M,Tris,8.5,15,% v/v,PPGBA 400,,,,,,
