Well #,Conc1,Units1,Salt1,Conc2,Units2,Salt2,Conc3,Units3,Salt3,Conc4,Units4,Salt4,Conc5,Units5,Buffer5,pH,Conc6,Units6,Precipitant6,Conc7,Units7,Precipitant7
A1,0.2,M,Lithium sulfate,,,,,,,,,,0.1,M,Sodium acetate,4.5,50,% w/v,PEG 400,,,
A2,,,None,,,,,,,,,,0.1,M,Sodium citrate,5.5,20,% w/v,PEG 3000,,,
A3,0.2,M,Ammonium citrate dibasic,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
A4,0.02,M,Calcium chloride dihydrate,,,,,,,,,,0.1,M,Sodium acetate,4.6,30,% v/v,MPD,,,
A5,0.2,M,Magnesium formate dihydrate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
A6,0.2,M,Lithium sulfate,,,,,,,,,,0.1,M,Phosphate/citrate,4.2,20,% w/v,PEG 1000,,,
A7,,,None,,,,,,,,,,0.1,M,CHES,9.5,20,% w/v,PEG 8000,,,
A8,0.2,M,Ammonium formate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
A9,0.2,M,Ammonium chloride,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
A10,0.2,M,Potassium formate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
A11,0.2,M,Ammonium phosphate monobasic,,,,,,,,,,0.1,M,Tris,8.5,50,% v/v,MPD,,,
A12,0.2,M,Potassium nitrate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
B1,0.8,M,Ammonium sulfate,,,,,,,,,,0.1,M,Citrate,"4,0",,,None,,,
B2,0.2,M,Sodium thiocyanate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
B3,,,None,,,,,,,,,,0.1,M,BICINE,"9,0",20,% w/v,PEG 6000,,,
B4,,,None,,,,,,,,,,0.1,M,HEPES ,7.5,10,% w/v,PEG 8000,8,% v/v,Ethylene glycol
B5,,,None,,,,,,,,,,0.1,M,Sodium cacodylate,6.5,40,% v/v,MPD,5,% w/v,PEG 8000
B6,,,None,,,,,,,,,,0.1,M,Phosphate/citrate,4.2,40,% v/v,Ethanol,5,% w/v,PEG 1000
B7,,,None,,,,,,,,,,0.1,M,Sodium acetate,4.6,8,% w/v,PEG 4000,,,
B8,0.2,M,Magnesium chloride hexahydrate,,,,,,,,,,0.1,M,Tris,"7,0",10,% w/v,PEG 8000,,,
B9,,,None,,,,,,,,,,0.1,M,Citrate,"5,0",20,% w/v,PEG 6000,,,
B10,0.2,M,Magnesium chloride hexahydrate,,,,,,,,,,0.1,M,Sodium cacodylate,6.5,50,% v/v,PEG 200,,,
B11,1.6,M,Sodium citrate tribasic dihydrate,,,,,,,,,,,,None,6.5,,,None,,,
B12,0.2,M,Potassium citrate tribasic monohydrate,,,,,,,,,,,,None,-,20,% w/v,PEG 3350,,,
C1,0.2,M,Sodium chloride,,,,,,,,,,0.1,M,Phosphate/citrate,4.2,20,% w/v,PEG 8000,,,
C2,"1,0",M,Lithium chloride,,,,,,,,,,0.1,M,Citrate,"4,0",20,% w/v,PEG 6000,,,
