Well #,Conc1,Units1,Salt 1,Conc2,Units2,Salt 2,Conc3,Units3,Buffer3,pH,Conc4,Units4,Precipitant4,Conc5,Units5,Precipitant5
A1,0.3,M,Potassium bromide,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A2,0.2,M,Magnesium chloride,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A3,0.3,M,Sodium malonate dibasic monohydrate,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A4,0.6,M,Sodium formate,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A5,1,M,Ammonium formate,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A6,0.2,M,Potassium thiocyanate,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A7,0.2,M,L-Proline,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A8,0.2,M,L-Arginine,,,,0.1,M,Sodium acetate,5,8,% w/v,"γ-PGA (Na+ form, LM)",,,
A9,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",30,% v/v,PEG 400
A10,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",30,% v/v,PEG 500 MME
A11,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",30,% v/v,MPD
A12,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",20,% w/v,PEG 2000 MME
B1,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",20,% w/v,PEG 3350
B2,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",15,% w/v,PEG 4000
B3,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",12,% w/v,PEG 8000
B4,,,,,,,0.1,M,Sodium acetate,5,5,% w/v,"γ-PGA (Na+ form, LM)",8,% w/v,PEG 20000
B5,0.2,M,Potassium bromide,0.2,M,Potassium thiocyanate,0.1,M,Sodium acetate,5,3,% w/v,"γ-PGA (Na+ form, LM)",30,% v/v,PEG 400
B6,0.2,M,Potassium bromide,0.2,M,Potassium thiocyanate,0.1,M,Sodium acetate,5,3,% w/v,"γ-PGA (Na+ form, LM)",20,% v/v,PEG 500 MME
B7,0.2,M,Potassium bromide,0.2,M,Potassium thiocyanate,0.1,M,Sodium acetate,5,3,% w/v,"γ-PGA (Na+ form, LM)",20,% v/v,MPD
B8,0.2,M,Potassium bromide,0.2,M,Potassium thiocyanate,0.1,M,Sodium acetate,5,3,% w/v,"γ-PGA (Na+ form, LM)",10,% w/v,PEG 2000 MME
B9,0.2,M,Potassium bromide,0.2,M,Potassium thiocyanate,0.1,M,Sodium acetate,5,3,% w/v,"γ-PGA (Na+ form, LM)",5,% w/v,PEG 3350
B10,0.2,M,Potassium bromide,0.2,M,Potassium thiocyanate,0.1,M,Sodium acetate,5,3,% w/v,"γ-PGA (Na+ form, LM)",5,% w/v,PEG 4000
B11,0.2,M,Potassium bromide,0.2,M,Potassium thiocyanate,0.1,M,Sodium acetate,5,3,% w/v,"γ-PGA (Na+ form, LM)",5,% w/v,PEG 8000
