Number,Well,Salt,Buffer ,Precipitant 1,Precipitant 2
1,A1,,,2.2 M Ammonium sulfate,
2,A2,0.2 M Ammonium acetate,,2.2 M Ammonium sulfate,
3,A3,0.2 M Ammonium chloride,,2.2 M Ammonium sulfate,
4,A4,0.2 M Ammonium phosphate,,2.2 M Ammonium sulfate,
5,A5,0.2 M Ammonium fluoride,,2.2 M Ammonium sulfate,
6,A6,0.2 M Ammonium formate,,2.2 M Ammonium sulfate,
7,A7,0.18 M tri-Ammonium citrate,,2.2 M Ammonium sulfate,
8,A8,0.2 M di-Ammonium phosphate,,2.2 M Ammonium sulfate,
9,A9,0.2 M Ammonium iodide,,2.2 M Ammonium sulfate,
10,A10,0.2 M Ammonium nitrate,,2.2 M Ammonium sulfate,
11,A11,0.2 M di-Ammonium tartrate,,2.2 M Ammonium sulfate,
12,A12,0.2 M Cadmium chloride,,2.2 M Ammonium sulfate,
13,B1,0.2 M Cadmium sulfate,,2.2 M Ammonium sulfate,
14,B2,0.2 M Cesium chloride,,2.2 M Ammonium sulfate,
15,B3,0.2 M Cesium sulfate,,2.2 M Ammonium sulfate,
16,B4,0.2 M Ammonium bromide,,2.2 M Ammonium sulfate,
17,B5,0.2 M Lithium acetate,,2.2 M Ammonium sulfate,
18,B6,0.2 M Lithium chloride,,2.2 M Ammonium sulfate,
19,B7,0.2 M tri-Lithium citrate,,2.2 M Ammonium sulfate,
20,B8,0.2 M Lithium nitrate,,2.2 M Ammonium sulfate,
21,B9,0.2 M Lithium sulfate,,2.2 M Ammonium sulfate,
22,B10,0.2 M Potassium acetate,,2.2 M Ammonium sulfate,
23,B11,0.2 M Potassium bromide,,2.2 M Ammonium sulfate,
24,B12,0.2 M Potassium chloride,,2.2 M Ammonium sulfate,
25,C1,0.2 M tri-Potassium citrate,,2.2 M Ammonium sulfate,
26,C2,0.2 M Potassium phosphate,,2.2 M Ammonium sulfate,
27,C3,0.2 M Potassium fluoride,,2.2 M Ammonium sulfate,
28,C4,0.2 M Potassium formate,,2.2 M Ammonium sulfate,
29,C5,0.2 M di-Potassium phosphate,,2.2 M Ammonium sulfate,
30,C6,0.2 M Potassium iodide,,2.2 M Ammonium sulfate,
31,C7,0.2 M Potassium nitrate,,2.2 M Ammonium sulfate,
32,C8,0.2 M K/Na tartrate,,2.2 M Ammonium sulfate,
33,C9,0.2 M Potassium sulfate,,2.2 M Ammonium sulfate,
34,C10,0.2 M Potassium thiocyanate,,2.2 M Ammonium sulfate,
35,C11,0.2 M Sodium acetate ,,2.2 M Ammonium sulfate,
36,C12,0.2 M Sodium bromide,,2.2 M Ammonium sulfate,
37,D1,0.2 M Sodium chloride,,2.2 M Ammonium sulfate,
38,D2,0.2 M tri-Sodium citrate,,2.2 M Ammonium sulfate,
39,D3,0.2 M Sodium phosphate ,,2.2 M Ammonium sulfate,
40,D4,0.2 M Sodium fluoride,,2.2 M Ammonium sulfate,
41,D5,0.2 M Sodium formate,,2.2 M Ammonium sulfate,
42,D6,0.2 M di-Sodium phosphate,,2.2 M Ammonium sulfate,
43,D7,0.2 M Sodium iodide,,2.2 M Ammonium sulfate,
44,D8,0.2 M Sodium malonate,,2.2 M Ammonium sulfate,
45,D9,0.2 M Sodium nitrate,,2.2 M Ammonium sulfate,
46,D10,0.2 M Sodium sulfate,,2.2 M Ammonium sulfate,
47,D11,0.2 M di-Sodium tartate,,2.2 M Ammonium sulfate,
48,D12,0.2 M Sodium thiocyanate,,2.2 M Ammonium sulfate,
49,E1,,0.1 M Citric acid pH 4.0,0.8 M Ammonium sulfate,
50,E2,,0.1 M Citric acid pH 5.0,0.8 M Ammonium sulfate,
51,E3,,0.1 M MES pH 6.0,0.8 M Ammonium sulfate,
52,E4,,0.1 M HEPES pH 7.0,0.8 M Ammonium sulfate,
53,E5,,0.1 M TRIS pH 8.0,0.8 M Ammonium sulfate,
54,E6,,0.1 M BICINE pH 9.0,0.8 M Ammonium sulfate,
55,E7,,0.1 M Citric acid pH 4.0,1.6 M Ammonium sulfate,
56,E8,,0.1 M Citric acid pH 5.0,1.6 M Ammonium sulfate,
57,E9,,0.1 M MES pH 6.0,1.6 M Ammonium sulfate,
58,E10,,0.1 M HEPES pH 7.0,1.6 M Ammonium sulfate,
59,E11,,0.1 M TRIS pH 8.0,1.6 M Ammonium sulfate,
60,E12,,0.1 M BICINE pH 9.0,1.6 M Ammonium sulfate,
61,F1,,0.1 M Citric acid pH 4.0,2.4 M Ammonium sulfate,
62,F2,,0.1 M Citric acid pH 5.0,2.4 M Ammonium sulfate,
63,F3,,0.1 M MES pH 6.0,2.4 M Ammonium sulfate,
