Number,Well,Salt 1,Salt 2,Buffer ,Precipitant 1,Precipitant 2
1,A1,0.1 M Calcium chloride, ,0.1 M Sodium acetate pH 4.6,15 %(w/v) PEG 400, 
2,A2, , ,0.1 M MES pH 6.5,15 %(w/v) PEG 400, 
3,A3,0.2 M Magnesium chloride, ,0.1 M HEPES pH 7.5,15 %(w/v) PEG 400, 
4,A4,0.2 M tri-Sodium citrate, ,0.1 M TRIS pH 8.5,15 %(w/v) PEG 400, 
5,A5,0.1 M Magnesium chloride, ,0.1 M Sodium acetate pH 4.6,25 %(w/v) PEG 400, 
6,A6,0.2 M Lithium sulfate, ,0.1 M TRIS pH 8.5,25 %(w/v) PEG 400, 
7,A7,0.2 M Calcium chloride, ,0.1 M HEPES pH 7.5,28 %(w/v) PEG 400, 
8,A8,0.1 M Calcium chloride, ,0.1 M Sodium acetate pH 4.6,30 %(w/v) PEG 400, 
9,A9,0.1 M Sodium acetate , ,0.1 M MES pH 6.5,30 %(w/v) PEG 400, 
10,A10,0.1 M Magnesium chloride, ,0.1 M MES pH 6.5,30 %(w/v) PEG 400, 
11,A11,0.2 M Magnesium chloride, ,0.1 M HEPES pH 7.5,30 %(w/v) PEG 400, 
12,A12,0.2 M tri-Sodium citrate, ,0.1 M TRIS pH 8.5,30 %(w/v) PEG 400, 
13,B1,0.1 M Sodium chloride, ,0.1 M BICINE pH 9.0,30 %(w/v) PEG 550 MME, 
14,B2,0.01 M Zinc sulfate, ,0.1 M MES pH 6.5,25 %(w/v) PEG 550 MME, 
15,B3, , ,0.1 M HEPES pH 7.5,25 %(w/v) PEG 1000, 
16,B4, , ,0.1 M TRIS pH 8.5,30 %(w/v) PEG 1000, 
17,B5, , , ,15 %(w/v) PEG 1500, 
18,B6, , ,0.1 M HEPES pH 7.5,20 %(w/v) PEG 1500, 
19,B7, , , ,30 %(w/v) PEG 1500, 
20,B8,0.01 M Nickel chloride, ,0.1 M TRIS pH 8.5,20 %(w/v) PEG 2000 MME, 
21,B9, , , ,25 %(w/v) PEG 2000 MME, 
22,B10,0.1 M Sodium acetate , ,0.1 M MES pH 6.5,30 %(w/v) PEG 2000 MME, 
23,B11,0.2 M Sodium acetate , ,0.1 M HEPES pH 7.5,20 %(w/v) PEG 3000, 
24,B12,0.2 M Lithium sulfate, ,0.1 M TRIS pH 8.5,30 %(w/v) PEG 3000, 
